"Site.Name","R2_Discharge","R2_WaterLevel","R2_RelMonth"
"Barratta Creek at Northcote",0.0790876786878717,0.124441668732826,0.663334064641033
"Burnett River at Quay Street Bridge",0.177348669597283,0.244116027633053,0.0264032323114355
"Daintree River at Lower Daintree",0.0107413337036632,0.00580898855059338,0.112707721349092
"Fairydale Drainage at Norton Road",NA,0.0258899128865912,0.322732691953493
"Fitzroy River at Fitzroy River Water",0.0414079263032745,0.0259480166482063,0.138135755703137
"Moore Park Drainage at Moore Park Road",9.67673353515575e-05,0.00104870342858756,0.1513632991516
"Pioneer River at Dumbleton Pump Station Headwater",0.0238256825245783,0.0165884048090093,0.395979734991585
"Sandy Creek at Homebush",0.00237984922581191,0.0113533432227137,0.556152937049604
"Tully River at Euramo",0.00361044252703242,0.00268792129204397,0.372780231810435
"Welcome Creek at Gooburrum Road",0.0134521259424271,0.102345592518126,0.322917366614118
"Yellow Waterholes Creek at Dahls Road",0.024551077337015,0.0458196646634521,0.442100277210715
