term,estimate,std.error,statistic,p.value,conf.low,conf.high,b,df,dfcom,fmi,lambda,m,riv,ubar,Target,Site.Code,Source
(Intercept),0.08186899515378487,0.04600466090669318,1.7795804498990193,0.0879312319826971,-0.013127025355290395,0.17686501566286014,0.0017873111222803046,23.777374248631293,13096,0.8951795236783698,0.8867185402610153,20,7.827569862748333,2.3975214674550364e-4,OtherHerb.PRM,1080025,Discharge
Discharge_cumecs,-9.0308441540766e-6,1.0786011343195173e-5,-0.8372737490002828,0.4132365027531417,-3.1664285431646364e-5,1.3602597123493161e-5,1.0867761016050676e-10,18.30607655692676,13096,0.9826579172996296,0.9808613759206254,20,51.25036010178405,2.2265500270028313e-12,OtherHerb.PRM,1080025,Discharge
Rel.Month2,-0.0560497693245119,0.03568576649863543,-1.5706477630697706,0.1418207976624225,-0.13365949009629174,0.021559951447267925,0.001209702031105694,12.202528207666264,13096,0.9977585748916487,0.9974190300600685,20,386.4512385938744,3.2867979341523896e-6,OtherHerb.PRM,1080025,Discharge
Rel.Month3,-0.057491312603062734,0.04125321694984364,-1.393620106595848,0.19130456928747633,-0.14843605251120326,0.03345342730507778,0.001617669367507304,10.856133101895878,13096,0.9983533308842798,0.9980755558118226,20,518.6305541846298,3.2750728281966848e-6,OtherHerb.PRM,1080025,Discharge
Rel.Month4,-0.04772276948430858,0.03963277678098283,-1.2041237924870207,0.2533130036231743,-0.13473868012785228,0.03929314115923513,0.0014928421114479816,11.227581896994101,13096,0.9982093237346494,0.9979164324204983,20,478.9460357504487,3.2727783508309625e-6,OtherHerb.PRM,1080025,Discharge
Rel.Month5,-0.05499575574399494,0.037577730497130535,-1.463519883091249,0.16964607029258968,-0.13709631873817346,0.027104807250183563,0.0013417323770490847,11.70966083757624,13096,0.998001071793486,0.9976865192287779,20,431.2491081141674,3.2668334134353107e-6,OtherHerb.PRM,1080025,Discharge
Rel.Month6,-0.05503875893993532,0.04111056625912517,-1.3387983661674463,0.20794851736601921,-0.14564898548428157,0.03557146760441095,0.0016064883102571439,10.875556981786618,13096,0.9983461206184872,0.9980675855764594,20,516.4873400953705,3.265932375919471e-6,OtherHerb.PRM,1080025,Discharge
Sampling.Year2022-2023,-0.014232230044893825,0.028529738800932004,-0.4988559532283166,0.6188847927633141,-0.07077639643135318,0.04231193634156553,3.2111976424026306e-4,109.14591072573977,13096,0.42469455149391355,0.4142483089649725,20,0.707208046182492,4.767702435971288e-4,OtherHerb.PRM,1080025,Discharge
Sampling.Year2023-2024,-0.01865738855005927,0.02921348195734109,-0.6386567878934689,0.5245623552167635,-0.07664342848504603,0.0393286513849275,3.5865448838719226e-4,96.29452771808472,13096,0.45251853724482016,0.44126443127204573,20,0.789755397668079,4.7684031526534147e-4,OtherHerb.PRM,1080025,Discharge
(Intercept),5.700000000000004e-10,1.2831001320947373e-25,4442365687153671,0,5.700000000000002e-10,5.700000000000006e-10,0,83.0598713689776,85,0.023239635014385453,0,20,0,1.6463459489815323e-50,Fungicide.PRM,1080025,Discharge
Discharge_cumecs,-1.1570189484855657e-28,1.8932556305867357e-29,-6.111266380478139,3.070570922031282e-8,-1.533575864606607e-28,-7.804620323645244e-29,0,83.0598713689776,85,0.023239635014385453,0,20,0,3.584416882748378e-58,Fungicide.PRM,1080025,Discharge
Rel.Month2,-1.4300308726585143e-25,4.329727890109419e-26,-3.3028192739899302,0.0014131719545289576,-2.2911871558370277e-25,-5.68874589480001e-26,0,83.0598713689776,85,0.023239635014385453,0,20,0,1.874654360239136e-51,Fungicide.PRM,1080025,Discharge
Rel.Month3,-1.9974012315057526e-25,4.4890774237304183e-26,-4.449469329593149,2.6520408901299688e-5,-2.8902511581607433e-25,-1.1045513048507618e-25,0,83.0598713689776,85,0.023239635014385453,0,20,0,2.015181611624613e-51,Fungicide.PRM,1080025,Discharge
Rel.Month4,-1.3417762462482424e-25,4.26999201271186e-26,-3.142339007318386,0.0023235116359371297,-2.1910514303235997e-25,-4.9250106217288525e-26,0,83.0598713689776,85,0.023239635014385453,0,20,0,1.8232831788623083e-51,Fungicide.PRM,1080025,Discharge
Rel.Month5,-1.3492975807392823e-25,4.268680371204812e-26,-3.160924368667243,0.0021952870217298967,-2.198311887375285e-25,-5.002832741032794e-26,0,83.0598713689776,85,0.023239635014385453,0,20,0,1.822163211150925e-51,Fungicide.PRM,1080025,Discharge
Rel.Month6,-1.5811991179326062e-25,5.696618169907706e-26,-2.7756803611751004,0.006804523057644538,-2.714221482014921e-25,-4.481767538502917e-26,0,83.0598713689776,85,0.023239635014385453,0,20,0,3.245145857372263e-51,Fungicide.PRM,1080025,Discharge
Sampling.Year2022-2023,-5.700000000000002e-10,1.7561355264308866e-25,-3245763162473285,0,-5.700000000000005e-10,-5.699999999999999e-10,0,83.0598713689776,85,0.023239635014385453,0,20,0,3.0840119871926874e-50,Fungicide.PRM,1080025,Discharge
Sampling.Year2023-2024,-5.700000000000001e-10,1.7673613551117867e-25,-3225146902479076,0,-5.700000000000004e-10,-5.699999999999998e-10,0,83.0598713689776,85,0.023239635014385453,0,20,0,3.123566159542571e-50,Fungicide.PRM,1080025,Discharge
