term,estimate,std.error,statistic,p.value,conf.low,conf.high,b,df,dfcom,fmi,lambda,m,riv,ubar,Target,Site.Code,Source
(Intercept),0.11020014558657563,0.07739460188611115,1.4238737961174475,0.17041701864297099,-0.05159562518464615,0.2719959163577974,0.005600358664045503,19.34083134092902,55795,0.9833485635882162,0.9817113211242586,20,53.67863517065925,1.0954780386186111e-4,OtherHerb.PRM,1080025,Water Level
WaterLevel_m,-0.004299137545312874,0.004425389865416355,-0.9714709157965672,0.34400200442010276,-0.01358676603871048,0.004988490948084733,1.8531428052867724e-5,18.268093828712725,55795,0.9941677040795366,0.993562320280567,20,154.3354692345725,1.260760054186711e-7,OtherHerb.PRM,1080025,Water Level
Rel.Month2,-0.05799378236953197,0.045501972073151806,-1.2745333823399467,0.2339749696063242,-0.16071308026574327,0.04472551552667933,0.0019712175398468265,9.124275089285725,55795,0.9997374214803199,0.9996855504046399,20,3179.1599199231523,6.510457067190251e-7,OtherHerb.PRM,1080025,Water Level
Rel.Month3,-0.05777977691558856,0.04400313599243525,-1.3130831612892706,0.22021314616301274,-0.15663672626903183,0.0410771724378547,0.0018434541864011031,9.428304410245262,55795,0.9997187233009025,0.9996647784431323,20,2982.101711429311,6.490814475920137e-7,OtherHerb.PRM,1080025,Water Level
Rel.Month4,-0.05372922213578454,0.04398453367464107,-1.2215480680828883,0.25156408142804787,-0.1525553359561228,0.04509689168455373,0.0018418968125921095,9.421087166272521,55795,0.9997191811156844,0.9996652867609334,20,2986.632048222367,6.475493539195161e-7,OtherHerb.PRM,1080025,Water Level
Rel.Month5,-0.0569068496681892,0.04322181937047332,-1.3166231893298022,0.21869232214762793,-0.15383318872350868,0.04001948938713027,0.0017785557398396705,9.547610696725702,55795,0.9997110527086969,0.9996562635626788,20,2908.205691991968,6.421428621689156e-7,OtherHerb.PRM,1080025,Water Level
Rel.Month6,-0.05307551503607851,0.04753841455389799,-1.116476338854395,0.29247487086319796,-0.16022865429438235,0.05407762422222532,0.002151596276686085,9.217879060506366,55795,0.9997317903335747,0.9996792922241655,20,3117.1033805545285,7.247677778715459e-7,OtherHerb.PRM,1080025,Water Level
Sampling.Year2022-2023,-0.01070215051966911,0.022394805527090056,-0.4778853965364052,0.6346877018727297,-0.05561548773090867,0.03421118669157046,2.849713680130991e-4,53.25163189972002,55795,0.6109595031854195,0.5966174278158273,20,1.479036202742614,2.0230737818242923e-4,OtherHerb.PRM,1080025,Water Level
Sampling.Year2023-2024,-0.014914452958527098,0.019758031736655118,-0.7548551979931175,0.4525069727996164,-0.05422179558767263,0.02439288967061843,1.7906447841218982e-4,81.6775316513229,55795,0.49387106479548387,0.4816276190830738,20,0.9291151242107919,2.0236211577387157e-4,OtherHerb.PRM,1080025,Water Level
(Intercept),5.700000000000017e-10,5.150974990748513e-25,1106586619084268.1,0,5.700000000000006e-10,5.700000000000027e-10,0,83.0598713689776,85,0.023239635014385453,0,20,0,2.6532543355316643e-49,Fungicide.PRM,1080025,Water Level
WaterLevel_m,-3.0008188311255105e-25,3.591898266587904e-26,-8.354409307856358,1.2716334102607935e-12,-3.7152253341013857e-25,-2.2864123281496354e-25,0,83.0598713689776,85,0.023239635014385453,0,20,0,1.290173315751719e-51,Fungicide.PRM,1080025,Water Level
Rel.Month2,-2.585310699574392e-25,1.3985667493201704e-25,-1.848542946435046,0.06808227240934972,-5.366974060851298e-25,1.9635266170251458e-26,0,83.0598713689776,85,0.023239635014385453,0,20,0,1.9559889523039885e-50,Fungicide.PRM,1080025,Water Level
Rel.Month3,-2.990481503321054e-25,1.4532673446064024e-25,-2.057764192128727,0.04274877753029394,-5.880940988788465e-25,-1.000220178536428e-26,0,83.0598713689776,85,0.023239635014385453,0,20,0,2.111985974899344e-50,Fungicide.PRM,1080025,Water Level
Rel.Month4,-5.366294984435167e-26,1.35940177292338e-25,-0.3947541551968851,0.694036190749049,-3.240396127268302e-25,2.1671371303812684e-25,0,83.0598713689776,85,0.023239635014385453,0,20,0,1.8479731802272291e-50,Fungicide.PRM,1080025,Water Level
Rel.Month5,2.629421489434595e-26,1.3559124799784574e-25,0.19392265564783143,0.846709924540081,-2.433884490534109e-25,2.9597687884210277e-25,0,83.0598713689776,85,0.023239635014385453,0,20,0,1.8384986533613305e-50,Fungicide.PRM,1080025,Water Level
Rel.Month6,-3.1709150438298545e-25,1.8240969886038861e-25,-1.7383478310858822,0.08585520490462342,-6.798931914015995e-25,4.571018263562859e-26,0,83.0598713689776,85,0.023239635014385453,0,20,0,3.327329823833766e-50,Fungicide.PRM,1080025,Water Level
Sampling.Year2022-2023,-5.699999999999989e-10,5.582454749414402e-25,-1021056194069090.6,0,-5.7e-10,-5.699999999999977e-10,0,83.0598713689776,85,0.023239635014385453,0,20,0,3.1163801029259417e-49,Fungicide.PRM,1080025,Water Level
Sampling.Year2023-2024,-5.699999999999988e-10,5.614449320088173e-25,-1015237590551529.1,0,-5.699999999999999e-10,-5.699999999999976e-10,0,83.0598713689776,85,0.023239635014385453,0,20,0,3.152204116783855e-49,Fungicide.PRM,1080025,Water Level
(Intercept),2.807951903079017,1.5842439952544927,1.772423888927506,0.0901546637427651,-0.477306672063079,6.093210478221113,2.213890586739373,22.03034638773574,55795,0.9320900462740747,0.9261926140268473,20,12.548779526804378,0.18524392042357532,Insecticide.PRM,1080025,Water Level
WaterLevel_m,-0.12063014919027926,0.11931580292079076,-1.0110156931212293,0.3247090224065723,-0.37035737711338745,0.12909707873282897,0.013380106853576941,19.004067521711363,55795,0.9880489501001495,0.9868540881165174,20,75.06927605048655,1.8714863037719054e-4,Insecticide.PRM,1080025,Water Level
Rel.Month2,-1.6297311272208908,0.8928909563210364,-1.8252297390667327,0.08812945466722384,-3.5344343753070726,0.2749721208652913,0.7583693717737067,14.861030847681999,55795,0.998923550319891,0.9987878151724789,20,823.9567040407261,9.664195175029896e-4,Insecticide.PRM,1080025,Water Level
Rel.Month3,-1.7275403093720234,0.7693745943936873,-2.245382576914211,0.039462444181938366,-3.3606050624561377,-0.09447555628790938,0.5628321549991728,15.755033003001136,55795,0.9985458634814898,0.9983722873962323,20,613.359069091992,9.635037493193028e-4,Insecticide.PRM,1080025,Water Level
Rel.Month4,-1.647034322543473,0.7904392833529444,-2.0836949241148033,0.05401819124655457,-3.3262273319577083,0.0321586868707624,0.5941266963572894,15.595788508181954,55795,0.9986269911099211,0.9984615263729608,20,648.9948926160655,9.612294923624354e-4,Insecticide.PRM,1080025,Water Level
Rel.Month5,-1.5153993206447975,0.7467059001182226,-2.029446024739956,0.05950760015936747,-3.0992429233832075,0.0684442820936122,0.5301109497483174,15.88917324021926,55795,0.9984714412083521,0.9982904307148358,20,583.9426570061171,9.532040356317082e-4,Insecticide.PRM,1080025,Water Level
Rel.Month6,-1.56368443319648,0.7694427747136966,-2.0322296661740884,0.059021039757594235,-3.1944140115009034,0.06704514510794302,0.5628250763580107,16.0504072332833,55795,0.99837358664971,0.998182809581686,20,549.3000620748586,0.0010758533832012829,Insecticide.PRM,1080025,Water Level
Sampling.Year2022-2023,0.17986494229998326,0.6893270424254926,0.26092831302120917,0.7943593860962102,-1.1776647302125158,1.5373946148124822,0.12343291997706768,253.79859681933365,55795,0.27841703151334984,0.27275308377192414,20,0.3750488007382414,0.34556720544315583,Insecticide.PRM,1080025,Water Level
Sampling.Year2023-2024,-0.21129920226189772,0.6595884180346574,-0.32035007966254986,0.7488532128280581,-1.507591603197468,1.0849931986736725,0.08515087874724388,445.35200103866134,55795,0.20905377807508177,0.20550973113417242,20,0.25866865736133843,0.3456484585208559,Insecticide.PRM,1080025,Water Level
(Intercept),1.2292611157074058,0.416985629988588,2.9479699713897767,0.007951349175051445,0.35946175758494125,2.09906047382987,0.16044606999902244,20.00625155956876,55795,0.9715980102650396,0.9688938638680091,20,31.14799793059352,0.005408642118006055,PSII.PRM,1080025,Water Level
WaterLevel_m,-0.0612884536629947,0.033308251767756945,-1.840038141008744,0.08149147659740143,-0.13101921698608382,0.008442309660094426,0.001043639879082593,18.93663926461294,55795,0.9888446308972255,0.9877255486933784,20,80.470036828492,1.3617762787561261e-5,PSII.PRM,1080025,Water Level
Rel.Month2,-0.7381454898963824,0.21422382236274182,-3.44567416338269,0.003434338774847766,-1.193266312140224,-0.2830246676525407,0.043639547719628524,15.584258848082529,55795,0.9986325857623776,0.998467680685805,20,651.6054920382729,7.032096209360765e-5,PSII.PRM,1080025,Water Level
Rel.Month3,-0.7458531383859107,0.21423567132492533,-3.4814610180145764,0.003189513334576237,-1.2010211924793883,-0.2906850842924331,0.043644584828712335,15.575229620939975,55795,0.9986369420705664,0.9984724728040036,20,653.6528288471735,7.010879789347998e-5,PSII.PRM,1080025,Water Level
Rel.Month4,-0.7304499155275317,0.21101934011496606,-3.4615306593678716,0.0033035750632933267,-1.1785934171703372,-0.2823064138847262,0.04234211294253882,15.65502957656068,55795,0.9985976670322011,0.9984292694966275,20,635.646450713763,6.994331288996078e-5,PSII.PRM,1080025,Water Level
Rel.Month5,-0.7315777056928311,0.20873798236176924,-3.5047656272968792,0.0030084886543740525,-1.1747876017893966,-0.28836780959626557,0.04143065327174279,15.692766420553163,55795,0.9985784676133846,0.9984081504411676,20,627.2000673062672,6.935934513235223e-5,PSII.PRM,1080025,Water Level
Rel.Month6,-0.7285350623360171,0.24518829014429236,-2.971328940331029,0.009461374376994463,-1.250863116760235,-0.20620700791179902,0.057180013113613856,15.09236064071866,55795,0.9988417634324505,0.9986978148106904,20,766.9399275998126,7.828385458713888e-5,PSII.PRM,1080025,Water Level
Sampling.Year2022-2023,0.05965805345985308,0.1162422637875005,0.5132217105554004,0.6084629472322182,-0.16980709075865633,0.2891231976783625,0.004293633716618409,169.8994682383107,55795,0.3413541841492608,0.33364619274776275,20,0.5007042641859875,0.00900394848799352,PSII.PRM,1080025,Water Level
Sampling.Year2023-2024,0.01287575161171786,0.11924682112238816,0.10797563818076895,0.9141685413954173,-0.22286741824491996,0.24861892146835568,0.004961850973647189,140.97414274358667,55795,0.3751882108862607,0.36638644209879656,20,0.5782490565896722,0.00900986082546529,PSII.PRM,1080025,Water Level
(Intercept),4.019613711850418,1.7599694626696591,2.2839110547708903,0.03320287743673476,0.35323964276569697,7.68598778093514,2.832342987395969,20.422056566204517,55795,0.9635240463900527,0.9601185887023448,20,24.074338331121016,0.12353237276396148,Total.PRM,1080025,Water Level
WaterLevel_m,-0.1418425459681656,0.16891775043109428,-0.8397136808071965,0.4116566137764649,-0.49572982165505924,0.21204472971872806,0.02690260086344064,18.73531890795805,55795,0.9909155967841352,0.9899949728754736,20,98.94975401401797,2.854755040887811e-4,Total.PRM,1080025,Water Level
Rel.Month2,-2.647720550924146,0.7940556275784356,-3.334427033781847,0.004018121671152872,-4.325700331929031,-0.9697407699192611,0.5990953986734067,16.65227451704994,55795,0.9978999294618407,0.9976619917914139,20,426.71449489681817,0.001474171081906146,Total.PRM,1080025,Water Level
Rel.Month3,-2.805089753859035,0.7772985348846003,-3.6087675815257847,0.002213484291525776,-4.447003363266186,-1.1631761444518844,0.5740221799512262,16.738077955381453,55795,0.997813942377152,0.9975674604721398,20,410.0930114585589,0.0014697233849587177,Total.PRM,1080025,Water Level
Rel.Month4,-2.700055371919166,0.7498502242044863,-3.6007929113892656,0.0022257189640292447,-4.282935567671834,-1.117175176166498,0.5341039090416826,16.88314874850103,55795,0.997654588454023,0.9973922843621698,20,382.4773951166121,0.0014662542457516575,Total.PRM,1080025,Water Level
Rel.Month5,-2.6319476828766173,1.0076928616057534,-2.6118550434927386,0.019328666887986373,-4.7751218137250415,-0.4887735520281935,0.9657056105462276,15.38504120757305,55795,0.9987238708360096,0.9985681032492427,20,697.374376135066,0.0014540122576530566,Total.PRM,1080025,Water Level
