"Site.Name","Target","Model.Type","R2_marginal","R2_conditional"
"1080025","OtherHerb.PRM","lmerMod",0.0852235293747871,0.158425412842998
"1080025","Fungicide.PRM","lmerMod",1,NA
"1080025","Insecticide.PRM","lmerMod",0.111661229386205,0.150883215579725
"1080025","PSII.PRM","lmerMod",0.216086994728318,0.239149371965656
"1080025","Total.PRM","lmerMod",0.176607289173155,0.177778994086717
"113006A","OtherHerb.PRM","lmerMod",0.560817810275451,0.56241379946518
"113006A","Fungicide.PRM","lmerMod",0.0933114463590466,NA
"113006A","Insecticide.PRM","lmerMod",0.270801481339729,0.281952634506649
"113006A","PSII.PRM","lmerMod",0.179823114928151,0.452653039260179
"113006A","Total.PRM","lmerMod",0.642149375220169,NA
"119101A","OtherHerb.PRM","lmerMod",0.346993561408498,0.359498714170957
"119101A","Fungicide.PRM","lmerMod",0.000302806405052188,NA
"119101A","Insecticide.PRM","lmerMod",0.199206048880706,0.388966956154344
"119101A","PSII.PRM","lmerMod",0.833545771292445,0.833786297510907
"119101A","Total.PRM","lmerMod",0.750068602056659,0.760056944792345
"125013A","OtherHerb.PRM","lmerMod",0.433755191628825,0.439082840644433
"125013A","Fungicide.PRM","lmerMod",0.000287808362232978,NA
"125013A","Insecticide.PRM","lmerMod",0.497568022258544,0.544141861709554
"125013A","PSII.PRM","lmerMod",0.313463498871019,0.387529010884222
"125013A","Total.PRM","lmerMod",0.556115346325742,0.564286478272076
"126001A","OtherHerb.PRM","lmerMod",0.31336195174643,0.314948139785804
"126001A","Fungicide.PRM","lmerMod",0.204278720072283,0.232239317849129
"126001A","Insecticide.PRM","lmerMod",0.658382465377453,0.732320249626887
"126001A","PSII.PRM","lmerMod",0.389721718148301,0.412726012389398
"126001A","Total.PRM","lmerMod",0.637714183770627,0.729644450209027
"1300040","OtherHerb.PRM","lmerMod",0.176872467635684,0.642200095566615
"1300040","Fungicide.PRM","lmerMod",0.682537985315966,NA
"1300040","Insecticide.PRM","lmerMod",0.0864864608657776,0.246010667795507
"1300040","PSII.PRM","lmerMod",0.246666544830094,0.433420389440517
"1300040","Total.PRM","lmerMod",0.241520306422128,0.408246854624366
"1350051","OtherHerb.PRM","lmerMod",0.214856913890986,0.215574760594902
"1350051","Fungicide.PRM","lmerMod",0.123542120879287,0.313448648508572
"1350051","Insecticide.PRM","lmerMod",0.172584385761458,0.761069880457724
"1350051","PSII.PRM","lmerMod",0.115013908412345,0.309631428163813
"1350051","Total.PRM","lmerMod",0.227433077757888,0.29377333821801
"1350052","OtherHerb.PRM","lmerMod",0.0944945882739103,0.113301845859742
"1350052","Fungicide.PRM","lmerMod",0.354536008963849,0.356173301050651
"1350052","Insecticide.PRM","lmerMod",0.429393198708378,NA
"1350052","PSII.PRM","lmerMod",0.190174338040874,0.427174462379185
"1350052","Total.PRM","lmerMod",0.494529280399783,0.549238886436296
"1350053","OtherHerb.PRM","lmerMod",0.502351896322234,0.504768087283715
"1350053","Fungicide.PRM","lmerMod",0.277383129503978,0.403592499021836
"1350053","Insecticide.PRM","lmerMod",0.366788848563701,0.540611640087104
"1350053","PSII.PRM","lmerMod",0.175390156964666,0.432110347642852
"1350053","Total.PRM","lmerMod",0.541399984316752,0.647099437746168
"1360106","OtherHerb.PRM","lmerMod",0.445023904206073,0.448402156434206
"1360106","Fungicide.PRM","lmerMod",0.000538341905171352,NA
"1360106","Insecticide.PRM","lmerMod",0.153656059883087,0.334741978817054
"1360106","PSII.PRM","lmerMod",0.0278938464030049,0.0308342593566183
"1360106","Total.PRM","lmerMod",0.239452763012766,0.461894904806759
"1370040","OtherHerb.PRM","lmerMod",0.424076185492883,0.424751078574995
"1370040","Fungicide.PRM","lmerMod",0.25387511720741,0.438701593912841
"1370040","Insecticide.PRM","lmerMod",0.323966758332801,0.674549808137638
"1370040","PSII.PRM","lmerMod",0.137533350581183,0.157286252767513
"1370040","Total.PRM","lmerMod",0.387490522840965,0.623101017539894
